Bird_name,Plant_name,Plant_name_in_reference,Plant_genus,Plant_family,Cons_ID_by,Plant_ID_by,ID_Florical,Voucher,Reference,Ref_type,Link_to_ref
Ducula goliath,Oxera palmatinervia,,Oxera,,,,,,Létocart (1998),Technical report,
Ducula goliath,Syzygium neolaurifolium,Piliocalyx laurifolius,Syzygium,,,,24577,,Condamin (1978),Technical report,
Ducula goliath,Planchonella amieuana,,Planchonella,,,,,,Condamin (1978),Technical report,
Ptilinopus greyi,Planchonella cinerea,,Planchonella,,,,,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,Planchonella cinerea,,Planchonella,,,,,,Boissenin et al. (2006),Technical report,
Ducula goliath,Planchonella endlicheri,,Planchonella,,,,,,Munzinger (pers. commun.),Personal communication,
Ducula goliath,Planchonella endlicheri,,Planchonella,,,Jérôme,,,Colombo (pers. commun.),Personal communication,
Ducula goliath,Planchonella thiensis,,Planchonella,,,,,,Létocart (1998),Technical report,
Ducula goliath,Podocarpus sylvestris,,Podocarpus,,,,,,Létocart (1998),Technical report,
Aplonis striata striata,Premna serratifolia,,Premna,,,,,,Boissenin et al. (2006),Technical report,
Coracina caledonica,Premna serratifolia,,Premna,,,,,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,Premna serratifolia,,Premna,,,,,,Boissenin et al. (2006),Technical report,
Ducula goliath,Psidium sinensis,,Psidium,,,,,,Condamin (1978),Technical report,
Ducula goliath,Pycnandra comptonii,,Pycnandra,,,,,,Meandu Poveu (pers. commun.),Personal communication,
Drepanoptila holosericea,Santalum austrocaledonicum,,Santalum,,,,,,Tassin et al. (2008),Personal communication,https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/effect-of-ingestion-by-drepanoptila-holosericea-columbidae-on-the-seed-germination-of-santalum-austrocaledonicum-santalaceae/4FDDB8187D4782FEF4724CDBA11437A1
Ducula goliath,Sarcomelicope leiocarpa,,Sarcomelicope,,,,,,Lebreton (pers. commun.),Personal communication,
Aplonis striata striata,Plerandra elegantissima,Schefflera elegantissima,Plerandra,,,,22112,,Boissenin et al. (2006),Technical report,
Ducula goliath,Plerandra elegantissima,Schefflera elegantissima,Plerandra,,,,22112,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,Plerandra elegantissima,Schefflera elegantissima,Plerandra,,,,,,Boissenin et al. (2006),Technical report,
Ducula goliath,Plerandra elegantissima,Schefflera elegantissima,Plerandra,,,,,,Lebreton (pers. commun.),Personal communication,
Ducula goliath,Plerandra gabriellae,Schefflera gabriellae,Plerandra,,,,24119,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,Semecarpus neocaledonica,,Semecarpus,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,Semecarpus neocaledonica,,Semecarpus,,,,,,Létocart (1998),Technical report,
Ducula goliath,Semecarpus neocaledonica,,Semecarpus,,,,,,Létocart (1998),Technical report,
Ducula goliath,Sloanea lepisda,,Sloanea,,,,,,Mackee (pers. commun.),Personal communication,
Aplonis striata striata,Solanum lycopersicum,,Solanum,,,,,,Hannecart & Létocart (1983),Book,
Ducula goliath,Solanum mauritianum,,Solanum,,,,,,Colombo (2008),Academic report,
Columba vitiensis hypoenochroa,Solanum mauritianum,,Solanum,,,,,,Marion (1984),Book,
Aplonis striata striata,Solanum seaforthianum,,Solanum,,iNaturalist,Munzinger,,,iNaturalist,Online photo,https://www.inaturalist.org/observations/109363111
Columba vitiensis hypoenochroa,Solanum styraciflorum,,Solanum,,,,,,Heine (1976),Flora,
Columba vitiensis hypoenochroa,Solanum torvum,,Solanum,,,,,,Desmoulins & Barré (2005),Book,
Columba vitiensis hypoenochroa,Solanum torvum,,Solanum,,,,,,Marion (1984),Book,
Ducula goliath,Syzygium cumini,,Syzygium,,,,,,Meandu Poveu (pers. commun.),Personal communication,
Ducula goliath,Syzygium macranthum,,Syzygium,,,,,,Meandu Poveu (pers. commun.),Personal communication,
Zosterops xanthochroa,Syzygium pendulinum,,Syzygium,,,,,,Boissenin et al. (2006),Technical report,
Ducula goliath,Syzygium jambos,Syzygium vulgaris,Syzygium,,,,,,Condamin (1978),Technical report,
Ducula goliath,Tapeinosperma acutangulum,,Tapeinosperma,,,,,,Colombo (2008),Academic report,
Drepanoptila holosericea,Polyscias crenata,Tieghemopanax austrocaledonicus,Polyscias,,,,21138,,Marion (1984),Book,
Ptilinopus greyi,Vitex collina,,Vitex,,,,,,Tassin et al. (2010),Published paper,https://bioone.org/journals/pacific-science/volume-64/issue-4/64.4.527/Can-Ptilinopus-greyii-Columbidae-Disperse-Seeds-in-New-Caledonias-Dry/10.2984/64.4.527.full
Ducula goliath,Xanthomyrtus kanalaensis,Xanthomyrtus hienghenensis,Xanthomyrtus,,,,,,Létocart (1998),Technical report,
Ducula goliath,Xylopia pancheri,,Xylopia,,,,,,Létocart (1998),Technical report,
Ducula goliath,,,Elaeocarpus,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,,,,Arecaceae,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,,,Ficus,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,,,Flagellaria,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Coracina caledonica,,,Ficus,,,,,,Boissenin et al. (2006),Technical report,
