locality,longitude,latitude,year_obs,nom_taxon,family,genus,dbh
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,14.6
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.7
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.7
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,19.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,13.7
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,26.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,19.7
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,30.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15.6
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.3
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.8
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15.9
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.7
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15.6
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,23.2
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,20.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,21.6
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,13.7
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,21
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,16.9
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,14.6
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,13.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.7
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.8
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15.3
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,32.9
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.8
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.7
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,13.1
Arago,165.4765625,-21.24147606,2015,Aidia congesta,Rubiaceae,Aidia,11.9
Katalupaï,165.008391,-20.85251455,2017,Alangium vitiense,Cornaceae,Alangium,20.7
Katalupaï,165.008391,-20.85251455,2017,Alangium vitiense,Cornaceae,Alangium,19.7
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,11.5
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10.2
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,11
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,11.1
